Open,Close,High,Low,Volume,Date
60.18,58.21,60.41,57.92,,04/30/25
61.83,60.42,62.09,60.12,,04/29/25
63.49,62.05,63.9,61.44,,04/28/25
62.78,63.02,63.4,61.81,,04/25/25
62.26,62.79,63.3,62.08,,04/24/25
63.8,62.27,64.87,61.62,,04/23/25
0,63.67,64.37,0,,04/22/25
64.38,63.08,64.9,62.44,,04/21/25
62.65,64.68,64.85,62.53,,04/17/25
61.62,62.47,62.97,60.45,,04/16/25
61.56,61.33,62.06,60.88,,04/15/25
61.7,61.53,62.67,60.59,,04/14/25
60.12,61.5,61.87,59.44,,04/11/25
61.76,60.07,0,58.76,,04/10/25
58.22,62.35,62.93,55.12,,04/09/25
60.98,59.58,61.76,57.86,,04/08/25
61.28,60.7,63.86,58.95,,04/07/25
66.63,61.99,66.91,60.46,,04/04/25
70.39,66.95,70.48,65.98,,04/03/25
71.12,71.71,72.3,70.61,,04/02/25
71.4,71.2,72.1,71.03,,04/01/25
69.42,71.48,71.84,68.82,,03/31/25
69.9,69.36,70.09,68.85,,03/28/25
69.93,69.92,69.99,69.12,,03/27/25
69.19,69.65,70.21,69.04,,03/26/25
69.16,69,69.69,68.52,,03/25/25
68.34,69.11,69.33,67.97,,03/24/25
68.36,68.28,68.68,67.65,,03/21/25
0,68.07,68.4,66.64,,03/20/25
66.57,67.16,67.6,66.2,,03/19/25
67.5,66.9,68.73,66.52,,03/18/25
67.29,67.58,68.38,67.25,,03/17/25
66.82,67.18,67.48,66.57,,03/14/25
67.69,66.55,67.94,66.43,,03/13/25
66.61,67.68,67.88,66.16,,03/12/25
65.92,66.25,67.16,65.29,,03/11/25
67.1,66.03,67.61,65.79,,03/10/25
66.23,67.04,68.21,66.11,,03/07/25
66.39,66.36,67.09,65.59,,03/06/25
68.02,66.31,68.09,65.23,,03/05/25
68.47,68.26,68.56,66.77,,03/04/25
69.95,68.37,70.6,67.9,,03/03/25
70.14,69.76,70.29,69.15,,02/28/25
68.83,70.35,70.47,68.61,,02/27/25
69.11,68.62,69.29,68.36,,02/26/25
70.93,68.93,71.25,68.68,,02/25/25
69.85,70.7,70.93,69.33,,02/24/25
72.62,70.4,72.76,70.18,,02/21/25
0,72.48,73.14,0,,02/20/25
71.7,72.25,73.03,71.64,,02/19/25
70.61,71.85,72.07,70.12,,02/18/25
71.53,70.74,72.03,70.51,,02/14/25
71.28,71.29,71.6,70.21,,02/13/25
73.22,71.37,73.3,71.17,,02/12/25
72.51,73.32,73.67,72.32,,02/11/25
71,72.32,72.54,70.81,,02/10/25
70.61,71,71.42,70.47,,02/07/25
71.13,70.61,71.83,70.42,,02/06/25
72.8,71.03,72.97,70.96,,02/05/25
72.39,72.7,73.36,70.67,,02/04/25
74.15,73.16,75.24,72.06,,02/03/25
73.3,72.53,73.87,71.92,,01/31/25
72.98,72.73,73.84,72.03,,01/30/25
73.95,72.62,74.08,72.33,,01/29/25
72.98,73.77,74.3,72.89,,01/28/25
74.54,73.17,75.14,72.39,,01/27/25
74.4,74.66,75.22,74,,01/24/25
75.43,74.62,75.99,74.14,,01/23/25
75.89,75.44,76.45,75.28,,01/22/25
77.54,75.83,77.85,75.06,,01/21/25
78.73,77.88,79.41,77.76,,01/17/25
80.3,78.68,80.63,77.88,,01/16/25
77.9,80.04,80.78,77.24,,01/15/25
78.8,77.5,79.08,77.42,,01/14/25
76.54,78.82,79.28,76.54,,01/13/25
74.28,76.57,77.86,74.02,,01/10/25
73.34,73.92,74.32,72.85,,01/09/25
74.51,73.32,75.29,73.16,,01/08/25
73.55,74.25,74.53,73.1,,01/07/25
74.06,73.56,74.99,73.19,,01/06/25
73.45,73.96,74.35,72.71,,01/03/25
71.9,73.13,73.73,71.77,,01/02/25
71.13,71.72,72.02,70.87,,12/31/24
70.34,70.99,71.55,70.1,,12/30/24
69.66,70.6,70.75,69.43,,12/27/24
70.33,69.62,70.75,69.33,,12/26/24
69.63,70.1,70.42,69.34,,12/24/24
69.4,69.24,69.94,68.59,,12/23/24
69.27,69.46,69.85,68.43,,12/20/24
0,69.38,70.57,69.1,,12/19/24
70.34,70.58,71.39,69.88,,12/18/24
70.68,70.08,70.93,69.18,,12/17/24
71.28,70.71,71.45,70.35,,12/16/24
70.01,71.29,71.41,69.88,,12/13/24
70.46,70.02,70.72,69.14,,12/12/24
68.43,70.29,70.53,68.43,,12/11/24
68.21,68.59,69.06,67.72,,12/10/24
67.2,68.37,68.88,67.04,,12/09/24
68.43,67.2,68.52,66.99,,12/06/24
68.73,68.3,69.16,67.98,,12/05/24
69.99,68.54,70.51,68.5,,12/04/24
68.15,69.94,70.22,67.91,,12/03/24
68.2,68.1,69.1,67.7,,12/02/24
68.74,68,69.69,67.88,,11/29/24
68.96,68.72,69.36,68.18,,11/27/24
69.04,68.77,70.18,68.05,,11/26/24
71.32,68.94,71.49,68.72,,11/25/24
70.12,71.24,71.5,69.29,,11/22/24
69.04,70.1,70.38,68.87,,11/21/24
0,68.75,69.96,68.64,,11/20/24
68.9,69.39,69.67,68.47,,11/19/24
66.96,69.16,69.38,65.61,,11/18/24
68.64,67.02,68.74,66.81,,11/15/24
68.06,68.7,69.39,67.92,,11/14/24
67.99,68.43,68.86,66.95,,11/13/24
68.19,68.12,69.14,67.73,,11/12/24
70.33,68.04,70.56,67.92,,11/11/24
72.17,70.38,72.35,69.99,,11/08/24
71.91,72.36,72.87,70.65,,11/07/24
71.97,71.69,72.63,69.75,,11/06/24
71.69,71.99,72.67,71.3,,11/05/24
70.02,71.47,71.81,70.02,,11/04/24
70.53,69.49,71.44,69.32,,11/01/24
69.07,69.26,70.81,68.3,,10/31/24
67.5,68.61,69.16,67.29,,10/30/24
67.99,67.21,68.52,66.72,,10/29/24
69.63,67.38,69.63,66.93,,10/28/24
70.35,71.78,71.92,69.96,,10/25/24
71.04,70.19,72.33,69.75,,10/24/24
71.3,70.77,71.72,70.12,,10/23/24
0,71.74,72.1,69.35,,10/22/24
69.26,70.56,71.01,69.01,,10/21/24
70.75,69.22,71.23,68.67,,10/18/24
70.65,70.67,71.11,69.45,,10/17/24
71.03,70.39,71.3,69.64,,10/16/24
71.88,70.58,72.12,69.71,,10/15/24
75.24,73.83,75.34,71.82,,10/14/24
75.69,75.56,76.05,74.53,,10/11/24
73.36,75.85,76.25,73.27,,10/10/24
73.87,73.24,74.44,71.54,,10/09/24
77.3,73.57,78.48,72.71,,10/08/24
74.56,77.14,77.42,73.6,,10/07/24
73.81,74.38,75.57,73.46,,10/04/24
71.01,73.71,74.09,70.53,,10/03/24
70.79,70.1,72.48,69.87,,10/02/24
68.29,69.83,71.94,66.32,,10/01/24
68.73,68.17,69.31,67.58,,09/30/24
67.46,68.18,68.66,67.06,,09/27/24
69.85,67.67,69.99,66.95,,09/26/24
71.59,69.69,71.74,69.24,,09/25/24
70.72,71.56,72.39,70.44,,09/24/24
71.28,70.37,71.82,69.5,,09/23/24
71.12,71,71.45,70.37,,09/20/24
69.11,71.16,71.54,69.1,,09/19/24
71.13,69.88,70.31,68.59,,09/18/24
70.54,71.19,71.92,69.6,,09/17/24
69.2,70.09,70.7,68.65,,09/16/24
69.23,68.65,70.33,68.48,,09/13/24
67.38,68.97,69.8,67.24,,09/12/24
66.25,67.31,67.97,65.62,,09/11/24
68.73,65.75,69.08,65.27,,09/10/24
68.16,68.71,68.96,67.31,,09/09/24
69.34,67.67,70.14,67.17,,09/06/24
69.32,69.15,70.81,68.75,,09/05/24
70.23,69.2,71.46,68.81,,09/04/24
73.66,70.34,74.41,70.08,,09/03/24
76.03,73.55,76.58,73.36,,08/30/24
74.34,75.91,76.91,74.06,,08/29/24
75.74,74.52,75.96,73.82,,08/28/24
77.06,75.53,77.48,75.4,,08/27/24
75.04,77.42,77.59,75.04,,08/26/24
72.97,74.83,75.07,72.84,,08/23/24
72.22,73.01,73.52,71.58,,08/22/24
73.05,71.93,74.17,71.47,,08/21/24
0,73.17,74.38,72.54,,08/20/24
76.32,74.37,76.84,74.16,,08/19/24
77.92,76.65,78.24,75.54,,08/16/24
77.46,78.16,78.6,76.92,,08/15/24
78.66,76.98,79.1,76.82,,08/14/24
79.65,78.35,80.15,78.16,,08/13/24
76.98,80.06,80.16,76.69,,08/12/24
75.94,76.84,77.1,75.84,,08/09/24
75.52,76.19,76.52,74.6,,08/08/24
72.96,75.23,75.85,72.57,,08/07/24
73.92,73.2,74.57,72.21,,08/06/24
74.13,72.94,74.48,71.67,,08/05/24
76.92,73.52,77.32,72.97,,08/02/24
78.71,76.31,78.88,76.24,,08/01/24
75.29,77.91,78.67,75.17,,07/31/24
75.94,74.73,75.98,74.6,,07/30/24
77.25,75.81,77.69,75.36,,07/29/24
78.28,77.16,78.6,76.19,,07/26/24
77.5,78.28,78.47,76.03,,07/25/24
77.49,77.59,78.2,76.97,,07/24/24
78.28,76.96,78.73,76.41,,07/23/24
78.76,78.4,79.15,77.55,,07/22/24
82.32,80.13,82.86,79.71,,07/19/24
83.12,82.82,83.83,82.04,,07/18/24
80.77,82.85,83.11,80.46,,07/17/24
81.82,80.76,81.95,80.22,,07/16/24
82.21,81.91,82.57,81.47,,07/15/24
82.82,82.21,83.74,82.1,,07/12/24
82.4,82.62,83.13,81.63,,07/11/24
81.76,82.1,82.65,80.81,,07/10/24
82.24,81.41,82.48,81.25,,07/09/24
83.34,82.33,83.39,82.08,,07/08/24
83.59,83.16,84.52,83.03,,07/05/24
83.18,83.88,83.92,82.46,,07/03/24
83.46,82.81,84.38,82.72,,07/02/24
81.4,83.38,83.63,81.29,,07/01/24
81.85,81.54,82.72,80.97,,06/28/24
80.91,81.74,82.04,80.51,,06/27/24
80.75,80.9,81.63,80.16,,06/26/24
81.74,80.83,81.93,80.55,,06/25/24
80.56,81.63,81.77,80.21,,06/24/24
81.31,80.73,81.79,80.34,,06/21/24
0,81.29,81.52,80.3,,06/20/24
80.5,81.57,81.95,79.76,,06/18/24
78.51,80.33,80.93,77.98,,06/17/24
78.06,78.45,79.15,77.72,,06/14/24
78.32,78.62,78.9,77.67,,06/13/24
78.16,78.5,79.32,77.89,,06/12/24
78.23,77.9,78.36,77.23,,06/11/24
75.31,77.74,78.28,75.21,,06/10/24
75.69,75.53,76.24,75.21,,06/07/24
74.3,75.55,75.79,74.08,,06/06/24
72.92,74.07,74.33,72.77,,06/05/24
74.02,73.25,74.12,72.48,,06/04/24
77.13,74.22,77.52,73.98,,06/03/24
77.89,76.99,78.62,76.66,,05/31/24
79.24,77.91,79.4,77.64,,05/30/24
80.23,79.23,80.62,79,,05/29/24
77.79,79.83,80.29,77.71,,05/28/24
77,77.72,78.04,76.15,,05/24/24
77.33,76.87,78.66,76.42,,05/23/24
78.24,77.57,78.41,77.23,,05/22/24
0,78.66,0,77.65,,05/21/24
80.01,79.8,80.61,79.2,,05/20/24
79.39,80.06,80.14,79,,05/17/24
78.92,79.23,79.84,78.2,,05/16/24
78.43,78.63,78.91,76.69,,05/15/24
79.2,78.02,79.38,77.86,,05/14/24
78.25,79.12,79.49,77.77,,05/13/24
79.58,78.26,79.97,78.12,,05/10/24
79.25,79.26,79.8,78.89,,05/09/24
78.33,78.99,79.26,76.9,,05/08/24
78.74,78.38,79.17,77.55,,05/07/24
78.23,78.48,79.09,77.91,,05/06/24
79.1,78.11,79.63,77.95,,05/03/24
